Trip..Duration,Start.Station.Id,Start.Time,End.Station.Id,End.Time,User.Type,Long_Trip
522,7293,12/04/2021 03:23,7051,12/04/2021 03:31,Annual Member,No
902,7249,12/04/2021 03:58,7411,12/04/2021 04:13,Casual Member,Yes
347,7662,12/04/2021 08:35,7148,12/04/2021 08:41,Casual Member,No
1217,7338,12/04/2021 09:33,7483,12/04/2021 09:53,Casual Member,Yes
1710,7107,12/04/2021 09:37,7188,12/04/2021 10:06,Annual Member,Yes
837,7662,12/04/2021 09:38,7324,12/04/2021 09:52,Annual Member,No
434,7428,12/04/2021 12:01,7309,12/04/2021 12:09,Casual Member,No
536,7293,12/04/2021 12:27,7037,12/04/2021 12:36,Casual Member,No
129,7338,12/04/2021 13:22,7346,12/04/2021 13:24,Annual Member,No
400,7293,12/04/2021 13:25,7063,12/04/2021 13:32,Casual Member,No
987,7338,12/04/2021 13:38,7041,12/04/2021 13:54,Annual Member,Yes
1135,7293,12/04/2021 13:38,7157,12/04/2021 13:57,Casual Member,Yes
863,7428,12/04/2021 13:51,7357,12/04/2021 14:05,Annual Member,No
175,7293,12/04/2021 13:52,7250,12/04/2021 13:55,Casual Member,No
1263,7293,12/04/2021 14:05,7167,12/04/2021 14:26,Casual Member,Yes
403,7293,12/04/2021 14:11,7292,12/04/2021 14:18,Casual Member,No
1464,7107,12/04/2021 14:46,7569,12/04/2021 15:11,Annual Member,Yes
844,7107,12/04/2021 15:01,7462,12/04/2021 15:15,Annual Member,No
415,7293,12/04/2021 15:16,7273,12/04/2021 15:23,Annual Member,No
489,7338,12/04/2021 15:35,7343,12/04/2021 15:43,Annual Member,No
236,7293,12/04/2021 16:09,7006,12/04/2021 16:13,Annual Member,No
129,7338,12/04/2021 16:28,7346,12/04/2021 16:31,Annual Member,No
390,7293,12/04/2021 17:05,7001,12/04/2021 17:11,Casual Member,No
799,7338,12/04/2021 17:40,7090,12/04/2021 17:53,Annual Member,No
519,7293,12/04/2021 17:53,7281,12/04/2021 18:01,Annual Member,No
160,7338,12/04/2021 17:55,7346,12/04/2021 17:57,Annual Member,No
271,7293,12/04/2021 17:59,7491,12/04/2021 18:04,Annual Member,No
488,7338,12/04/2021 18:36,7337,12/04/2021 18:44,Casual Member,No
241,7338,12/04/2021 19:07,7346,12/04/2021 19:11,Casual Member,No
573,7293,12/04/2021 19:29,7055,12/04/2021 19:39,Annual Member,No
180,7293,12/04/2021 19:33,7248,12/04/2021 19:36,Annual Member,No
852,7662,12/04/2021 19:54,7461,12/04/2021 20:09,Casual Member,No
137,7662,12/04/2021 20:35,7136,12/04/2021 20:37,Annual Member,No
790,7293,12/04/2021 21:17,7462,12/04/2021 21:30,Annual Member,No
487,7293,12/04/2021 22:21,7026,12/04/2021 22:29,Annual Member,No
369,7293,12/04/2021 22:35,7164,12/04/2021 22:41,Annual Member,No
260,7293,12/04/2021 23:11,7023,12/04/2021 23:15,Annual Member,No
384,7293,12/05/2021 00:37,7023,12/05/2021 00:43,Annual Member,No
1265,7249,12/05/2021 00:56,7494,12/05/2021 01:17,Casual Member,Yes
1260,7249,12/05/2021 00:56,7494,12/05/2021 01:17,Casual Member,Yes
1032,7249,12/05/2021 02:29,7327,12/05/2021 02:46,Annual Member,Yes
601,7249,12/05/2021 02:29,7157,12/05/2021 02:39,Annual Member,No
1446,7338,12/05/2021 07:24,7483,12/05/2021 07:49,Casual Member,Yes
336,7662,12/05/2021 08:35,7148,12/05/2021 08:40,Casual Member,No
1116,7662,12/05/2021 09:29,7199,12/05/2021 09:47,Annual Member,Yes
858,7662,12/05/2021 09:35,7324,12/05/2021 09:49,Annual Member,No
1331,7338,12/05/2021 09:52,7168,12/05/2021 10:15,Annual Member,Yes
155,7662,12/05/2021 10:48,7136,12/05/2021 10:50,Annual Member,No
924,7662,12/05/2021 11:19,7243,12/05/2021 11:34,Annual Member,Yes
941,7662,12/05/2021 11:19,7243,12/05/2021 11:35,Annual Member,Yes
323,7293,12/05/2021 12:32,7248,12/05/2021 12:37,Annual Member,No
395,7293,12/05/2021 12:55,7063,12/05/2021 13:01,Annual Member,No
712,7249,12/05/2021 12:56,7196,12/05/2021 13:08,Annual Member,No
847,7338,12/05/2021 13:10,7092,12/05/2021 13:24,Casual Member,No
214,7293,12/05/2021 13:24,7006,12/05/2021 13:28,Casual Member,No
571,7293,12/05/2021 14:03,7281,12/05/2021 14:13,Annual Member,No
1456,7662,12/05/2021 14:10,7462,12/05/2021 14:34,Annual Member,Yes
247,7249,12/05/2021 14:20,7204,12/05/2021 14:24,Casual Member,No
628,7293,12/05/2021 16:02,7041,12/05/2021 16:13,Annual Member,No
1203,7662,12/05/2021 16:17,7437,12/05/2021 16:37,Casual Member,Yes
840,7662,12/05/2021 16:35,7497,12/05/2021 16:49,Casual Member,No
455,7293,12/05/2021 17:46,7542,12/05/2021 17:53,Annual Member,No
1148,7662,12/05/2021 18:16,7059,12/05/2021 18:35,Casual Member,Yes
330,7293,12/05/2021 18:20,7012,12/05/2021 18:26,Annual Member,No
359,7293,12/05/2021 20:03,7001,12/05/2021 20:09,Casual Member,No
297,7293,12/05/2021 20:30,7089,12/05/2021 20:35,Annual Member,No
1069,7293,12/05/2021 20:34,7198,12/05/2021 20:51,Annual Member,Yes
831,7338,12/06/2021 01:17,7357,12/06/2021 01:31,Casual Member,No
1037,7338,12/06/2021 07:28,7275,12/06/2021 07:46,Annual Member,Yes
338,7662,12/06/2021 07:40,7238,12/06/2021 07:46,Annual Member,No
343,7293,12/06/2021 09:46,7069,12/06/2021 09:52,Annual Member,No
563,7293,12/06/2021 11:03,7051,12/06/2021 11:12,Annual Member,No
371,7293,12/06/2021 11:11,7544,12/06/2021 11:17,Annual Member,No
641,7338,12/06/2021 11:50,7350,12/06/2021 12:01,Casual Member,No
183,7662,12/06/2021 12:02,7136,12/06/2021 12:05,Annual Member,No
525,7293,12/06/2021 12:09,7252,12/06/2021 12:18,Annual Member,No
390,7293,12/06/2021 12:43,7202,12/06/2021 12:49,Annual Member,No
95,7428,12/06/2021 12:47,7365,12/06/2021 12:48,Annual Member,No
371,7293,12/06/2021 13:07,7389,12/06/2021 13:14,Casual Member,No
